movieId,title,url,counter,imdb
1,Toy Story (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"8,5"
2,GoldenEye (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,8
3,Four Rooms (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,7
4,Get Shorty (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"7,5"
5,Copycat (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,9
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,9
7,Twelve Monkeys (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"9,5"
8,Babe (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"6,5"
9,Dead Man Walking (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,6
10,Richard III (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"9,5"
11,Seven (Se7en) (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,9
12,"Usual Suspects, The (1995)",http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,8
13,Mighty Aphrodite (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"8,5"
14,"Postino, Il (1994)",http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"8,4"
15,Mr. Holland's Opus (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,11
16,French Twist (Gazon maudit) (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"9,5"
17,From Dusk Till Dawn (1996),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,1,"7,5"
18,"White Balloon, The (1995)",http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,7
19,Antonia's Line (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"9,5"
20,Angels and Insects (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,8
21,Muppet Treasure Island (1996),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,9
22,Braveheart (1995),http://www.impawards.com/1995/posters/toy_story_ver1_xlg.jpg,0,"9,5"
